def(USE_SELECT),!def(USE_SELECT)
def(USE_LINUX_SENDFILE),True
True,def(USE_LDAP)
def(HAVE_PWD_H),True
def(HAVE_XATTR),True
True,def(HAVE_IPV6)
def(USE_FREEBSD_SENDFILE),True
!def(USE_OPENSSL),True
def(USE_LDAP),True
True,def(USE_LINUX_SIGIO)
def(HAVE_FORK),True
def(USE_FREEBSD_KQUEUE),True
def(USE_SOLARIS_DEVPOLL),!def(USE_SOLARIS_DEVPOLL)
def(HAVE_IPV6),True
def(DEBUG_PROC_OPEN),True
!def(WIN32),def(WIN32)
!def(USE_LINUX_EPOLL),def(USE_LINUX_EPOLL)
True,def(HAVE_FORK)
def(HAVE_PCRE_H),True
True,def(HAVE_PCRE_H)
!def(WIN32),True
def(__WIN32),True
True,def(USE_SELECT)
def(DEBUG_PROC_OPEN),def(WIN32)
def(HAVE_FAM_H),True
True,!def(WIN32)
def(USE_LICENSE),True
True,def(USE_FREEBSD_KQUEUE)
def(USE_LINUX_SIGIO),True
def(USE_LINUX_SIGIO),!def(USE_LINUX_SIGIO)
True,!def(USE_LINUX_EPOLL)
def(USE_OPENSSL),True
True,def(HAVE_MMAP)
def(DEBUG_ARRAY),True
!def(__WIN32),True
def(USE_FREEBSD_KQUEUE),!def(USE_FREEBSD_KQUEUE)
def(WIN32),True
True,def(WIN32)
True,!def(USE_POLL)
!def(USE_POLL),def(USE_POLL)
def(WIN32),!def(WIN32)
!def(USE_LDAP),True
True,def(USE_SOLARIS_DEVPOLL)
def(HAVE_LSTAT),True
